"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NSUN5","NSUN5",-0.225863236278366,9.43976370200873,-4.0762094662337,5.33712765224588e-05,0.014264554965867,1.68356915594369
"NRTN","NRTN",-0.479734445744504,3.78494346408891,-4.07249184467556,5.42021996221745e-05,0.014264554965867,1.66989739257879
"TMUB1","TMUB1",-0.256013346837886,9.79562801897816,-4.07064084410223,5.46204857879088e-05,0.014264554965867,1.66309456083178
"SMG5","SMG5",-0.19092522873434,11.5229859920114,-4.06348852399549,5.62657617459746e-05,0.014264554965867,1.63683526209306
"PYCR1","PYCR1",-0.356099220067623,11.3559489839742,-4.06312790698966,5.63499504744291e-05,0.014264554965867,1.63551241706815
"TLR8","TLR8",0.530569306687056,6.71926024372963,4.06192470203439,5.66317143441898e-05,0.014264554965867,1.63109951186574
"LPAR5","LPAR5",0.399625780913954,6.68490408107707,4.06012063233061,5.70566968384973e-05,0.014264554965867,1.62448513889143
"CMKLR1","CMKLR1",0.43164929932892,8.43518953104896,4.0589501566717,5.73340430978307e-05,0.014264554965867,1.62019521387379
"TTYH1","TTYH1",-0.552996244831639,2.88463312090377,-4.05075551930666,5.93119542057024e-05,0.0143730016770316,1.5901931934508
"SEPP1","SEPP1",0.423953485953455,12.1491962784467,4.05067675414237,5.93312762725761e-05,0.0143730016770316,1.58990509408974
"ZMYND19","ZMYND19",-0.215053840926568,8.41044649039724,-4.04716234020855,6.01995160218421e-05,0.0143939388243914,1.57705572960247
"MAST1","MAST1",-0.561079496710046,4.52314154082688,-4.04012023673355,6.19757235250759e-05,0.0144845113983718,1.55133971768297
"TLR7","TLR7",0.470248551800163,6.71862168070428,4.0394327068545,6.21517788534772e-05,0.0144845113983718,1.54883126419771
"NCKAP1L","NCKAP1L",0.426776034603552,9.25013963844344,4.03054906612431,6.44697471082228e-05,0.0147054115969273,1.51645505735406
"IQGAP2","IQGAP2",0.45303036104077,8.36164169525317,4.02300076946225,6.65035592386908e-05,0.0147054115969273,1.48899766748951
"SLCO2B1","SLCO2B1",0.439747702958379,10.4794566998164,4.02168396538953,6.68645402371751e-05,0.0147054115969273,1.48421262566225
